Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,326
design__inferred_latch__count,0
design__instance__count,194
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 2362.08 3559.56
design__core__bbox,5.76 15.12 2356.32 3541.86
design__io,2136
design__die__area,8.40797E+6
design__core__area,325024
design__instance__area,8.38194E+6
design__instance__count__stdcell,0
design__instance__area__stdcell,0
design__instance__count__macros,194
design__instance__area__macros,8.38194E+6
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,25.7886
design__instance__utilization__stdcell,0
design__rows,15
design__rows:CoreSite,15
design__sites,2880
design__sites:CoreSite,2880
design__instance__count__class:macro,194
design__instance__area__class:macro,8.38194E+6
flow__warnings__count,1
flow__errors__count,0
floorplan__design__io,2029
design__io__hpwl,3064880
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,30889.9
design__violations,0
global_route__vias,26
global_route__wirelength,10955
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
route__net,47540
route__net__special,2
route__drc_errors__iter:0,0
route__wirelength__iter:0,12865
route__drc_errors,0
route__wirelength,12865
route__vias,13
route__vias__singlecut,13
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,2319.74
design__xor_difference__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
