frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,405:374
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,373:342
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,341:310
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,309:278
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,277:246
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,245:214
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,213:182
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,181:150
frame8,8,32,1111_1111_1111_1111_1111_1111_1111_1111,149:118
frame9,9,32,1111_1111_1111_1111_1111_1111_1111_1111,117:86
frame10,10,32,1111_1111_1111_1111_1111_1111_1111_1111,85:54
frame11,11,32,1111_1111_1111_1111_1111_1111_1111_1111,53:22
frame12,12,22,1111_1111_1111_1111_1111_1100_0000_0000,21:0
frame13,13,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame14,14,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame15,15,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame16,16,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame17,17,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame18,18,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame19,19,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
