Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,34
design__inferred_latch__count,0
design__instance__count,6020
design__instance__area,75798.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 184.8 430.92
design__core__bbox,2.88 3.78 181.92 427.14
design__io,764
design__die__area,79634
design__core__area,75798.4
design__instance__count__stdcell,4500
design__instance__area__stdcell,69894.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.922108
design__instance__utilization__stdcell,0.922108
design__rows,112
design__rows:CoreSite,112
design__sites,41776
design__sites:CoreSite,41776
design__instance__count__class:buffer,381
design__instance__area__class:buffer,2765.15
design__instance__count__class:inverter,210
design__instance__area__class:inverter,1143.07
design__instance__count__class:sequential_cell,878
design__instance__area__class:sequential_cell,28097.8
design__instance__count__class:multi_input_combinational_cell,2514
design__instance__area__class:multi_input_combinational_cell,34165.2
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,235751
design__violations,0
design__instance__count__class:clock_buffer,13
design__instance__area__class:clock_buffer,290.304
design__instance__count__class:timing_repair_buffer,380
design__instance__area__class:timing_repair_buffer,2757.89
global_route__vias,42064
global_route__wirelength,385207
antenna__violating__nets,18
antenna__violating__pins,20
route__antenna_violation__count,18
antenna_diodes_count,124
design__instance__count__class:antenna_cell,124
design__instance__area__class:antenna_cell,674.957
route__net,4757
route__net__special,2
route__drc_errors__iter:0,3119
route__wirelength__iter:0,299211
route__drc_errors__iter:1,1910
route__wirelength__iter:1,297766
route__drc_errors__iter:2,1836
route__wirelength__iter:2,297063
route__drc_errors__iter:3,89
route__wirelength__iter:3,296800
route__drc_errors__iter:4,0
route__wirelength__iter:4,296790
route__drc_errors,0
route__wirelength,296790
route__vias,40178
route__vias__singlecut,40178
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1438.69
design__instance__count__class:fill_cell,1520
design__instance__area__class:fill_cell,5904.06
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19875
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19965
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00124934
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00144334
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000347337
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00144334
design_powergrid__voltage__worst,0.00144334
design_powergrid__voltage__worst__net:VPWR,1.19875
design_powergrid__drop__worst,0.00144334
design_powergrid__drop__worst__net:VPWR,0.00124934
design_powergrid__voltage__worst__net:VGND,0.00144334
design_powergrid__drop__worst__net:VGND,0.00144334
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000353000000000000015154544286133386776782572269439697265625
ir__drop__worst,0.00125000000000000002602085213965210641617886722087860107421875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
