Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,23
design__inferred_latch__count,0
design__instance__count,3035
design__instance__area,43894
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 109.44 430.92
design__core__bbox,2.88 3.78 106.56 427.14
design__io,621
design__die__area,47159.9
design__core__area,43894
design__instance__count__stdcell,1825
design__instance__area__stdcell,36398.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.829241
design__instance__utilization__stdcell,0.829241
design__rows,112
design__rows:CoreSite,112
design__sites,24192
design__sites:CoreSite,24192
design__instance__count__class:buffer,254
design__instance__area__class:buffer,1843.43
design__instance__count__class:inverter,51
design__instance__area__class:inverter,277.603
design__instance__count__class:sequential_cell,608
design__instance__area__class:sequential_cell,18753.6
design__instance__count__class:multi_input_combinational_cell,517
design__instance__area__class:multi_input_combinational_cell,12718.9
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,127802
design__violations,0
design__instance__count__class:timing_repair_buffer,329
design__instance__area__class:timing_repair_buffer,2387.75
design__instance__count__class:clock_buffer,5
design__instance__area__class:clock_buffer,85.2768
global_route__vias,16310
global_route__wirelength,188124
antenna__violating__nets,9
antenna__violating__pins,12
route__antenna_violation__count,9
antenna_diodes_count,61
design__instance__count__class:antenna_cell,61
design__instance__area__class:antenna_cell,332.035
route__net,2050
route__net__special,2
route__drc_errors__iter:0,1412
route__wirelength__iter:0,151559
route__drc_errors__iter:1,652
route__wirelength__iter:1,151128
route__drc_errors__iter:2,627
route__wirelength__iter:2,151018
route__drc_errors__iter:3,31
route__wirelength__iter:3,151039
route__drc_errors__iter:4,0
route__wirelength__iter:4,151027
route__drc_errors,0
route__wirelength,151027
route__vias,15779
route__vias__singlecut,15779
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1090.72
design__instance__count__class:fill_cell,1210
design__instance__area__class:fill_cell,7495.29
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19989
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19995
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000111775
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000112652
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000050225
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000112652
design_powergrid__voltage__worst,0.000112652
design_powergrid__voltage__worst__net:VPWR,1.19989
design_powergrid__drop__worst,0.000112652
design_powergrid__drop__worst__net:VPWR,0.000111775
design_powergrid__voltage__worst__net:VGND,0.000112652
design_powergrid__drop__worst__net:VGND,0.000112652
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000051900000000000001145437911187485724440193735063076019287109375
ir__drop__worst,0.000111999999999999998319920313516462329062051139771938323974609375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
