frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,615:584
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,583:552
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,551:520
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,519:488
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,487:456
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,455:424
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,423:392
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,391:360
frame8,8,32,1111_1111_1111_1111_1111_1111_1111_1111,359:328
frame9,9,32,1111_1111_1111_1111_1111_1111_1111_1111,327:296
frame10,10,32,1111_1111_1111_1111_1111_1111_1111_1111,295:264
frame11,11,32,1111_1111_1111_1111_1111_1111_1111_1111,263:232
frame12,12,32,1111_1111_1111_1111_1111_1111_1111_1111,231:200
frame13,13,32,1111_1111_1111_1111_1111_1111_1111_1111,199:168
frame14,14,32,1111_1111_1111_1111_1111_1111_1111_1111,167:136
frame15,15,32,1111_1111_1111_1111_1111_1111_1111_1111,135:104
frame16,16,32,1111_1111_1111_1111_1111_1111_1111_1111,103:72
frame17,17,32,1111_1111_1111_1111_1111_1111_1111_1111,71:40
frame18,18,32,1111_1111_1111_1111_1111_1111_1111_1111,39:8
frame19,19,8,1111_1111_0000_0000_0000_0000_0000_0000,7:0
