Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,19
design__inferred_latch__count,0
design__instance__count,3055
design__instance__area,43509.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 215.04 215.46
design__core__bbox,2.88 3.78 212.16 211.68
design__io,510
design__die__area,46332.5
design__core__area,43509.3
design__instance__count__stdcell,2430
design__instance__area__stdcell,41794.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.960592
design__instance__utilization__stdcell,0.960592
design__rows,55
design__rows:CoreSite,55
design__sites,23980
design__sites:CoreSite,23980
design__instance__count__class:buffer,253
design__instance__area__class:buffer,1836.17
design__instance__count__class:inverter,68
design__instance__area__class:inverter,370.138
design__instance__count__class:sequential_cell,624
design__instance__area__class:sequential_cell,19392.3
design__instance__count__class:multi_input_combinational_cell,1192
design__instance__area__class:multi_input_combinational_cell,18031.5
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,147332
design__violations,0
design__instance__count__class:clock_buffer,7
design__instance__area__class:clock_buffer,148.781
design__instance__count__class:timing_repair_buffer,253
design__instance__area__class:timing_repair_buffer,1836.17
global_route__vias,22991
global_route__wirelength,230995
antenna__violating__nets,16
antenna__violating__pins,16
route__antenna_violation__count,16
antenna_diodes_count,33
design__instance__count__class:antenna_cell,33
design__instance__area__class:antenna_cell,179.626
route__net,2651
route__net__special,2
route__drc_errors__iter:0,1813
route__wirelength__iter:0,181490
route__drc_errors__iter:1,1082
route__wirelength__iter:1,181014
route__drc_errors__iter:2,985
route__wirelength__iter:2,180894
route__drc_errors__iter:3,31
route__wirelength__iter:3,180629
route__drc_errors__iter:4,0
route__wirelength__iter:4,180620
route__drc_errors,0
route__wirelength,180620
route__vias,22306
route__vias__singlecut,22306
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1077.74
design__instance__count__class:fill_cell,625
design__instance__area__class:fill_cell,1714.61
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19973
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19988
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000266433
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000269579
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000121387
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000269579
design_powergrid__voltage__worst,0.000269579
design_powergrid__voltage__worst__net:VPWR,1.19973
design_powergrid__drop__worst,0.000269579
design_powergrid__drop__worst__net:VPWR,0.000266433
design_powergrid__voltage__worst__net:VGND,0.000269579
design_powergrid__drop__worst__net:VGND,0.000269579
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0001230000000000000081983031474663903281907550990581512451171875
ir__drop__worst,0.0002660000000000000146445355841962054910254664719104766845703125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
