Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,980
design__instance__area,10581.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 239.04 53.76
design__core__bbox,2.88 3.78 236.16 49.14
design__io,212
design__die__area,12850.8
design__core__area,10581.6
design__instance__count__stdcell,210
design__instance__area__stdcell,1524.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.144033
design__instance__utilization__stdcell,0.144033
design__rows,12
design__rows:CoreSite,12
design__sites,5832
design__sites:CoreSite,5832
design__instance__count__class:buffer,105
design__instance__area__class:buffer,762.048
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,14858
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,7.2576
design__instance__count__class:timing_repair_buffer,104
design__instance__area__class:timing_repair_buffer,754.79
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,1352
global_route__wirelength,17992
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,315
route__net__special,2
route__drc_errors__iter:0,34
route__wirelength__iter:0,15580
route__drc_errors__iter:1,23
route__wirelength__iter:1,15596
route__drc_errors__iter:2,8
route__wirelength__iter:2,15610
route__drc_errors__iter:3,0
route__wirelength__iter:3,15602
route__drc_errors,0
route__wirelength,15602
route__vias,1132
route__vias__singlecut,1132
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,160.32
design__instance__count__class:fill_cell,770
design__instance__area__class:fill_cell,9057.48
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19995
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19998
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000050906
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000344555
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000013306
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000344555
design_powergrid__voltage__worst,0.0000344555
design_powergrid__voltage__worst__net:VPWR,1.19995
design_powergrid__drop__worst,0.000050906
design_powergrid__drop__worst__net:VPWR,0.000050906
design_powergrid__voltage__worst__net:VGND,0.0000344555
design_powergrid__drop__worst__net:VGND,0.0000344555
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000016200000000000000749227069274382984076510183513164520263671875
ir__drop__worst,0.0000508999999999999971672832999036728551800479181110858917236328125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
