Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,24
design__inferred_latch__count,0
design__instance__count,2514
design__instance__area,29001.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 645.12 53.76
design__core__bbox,2.88 3.78 642.24 49.14
design__io,603
design__die__area,34681.7
design__core__area,29001.4
design__instance__count__stdcell,1037
design__instance__area__stdcell,14538.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.501314
design__instance__utilization__stdcell,0.501314
design__rows,12
design__rows:CoreSite,12
design__sites,15984
design__sites:CoreSite,15984
design__instance__count__class:buffer,251
design__instance__area__class:buffer,1821.66
design__instance__count__class:inverter,44
design__instance__area__class:inverter,239.501
design__instance__count__class:sequential_cell,226
design__instance__area__class:sequential_cell,6970.92
design__instance__count__class:multi_input_combinational_cell,379
design__instance__area__class:multi_input_combinational_cell,4760.99
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,83803.2
design__violations,0
global_route__vias,11518
global_route__wirelength,138549
antenna__violating__nets,3
antenna__violating__pins,3
route__antenna_violation__count,3
antenna_diodes_count,137
design__instance__count__class:antenna_cell,137
design__instance__area__class:antenna_cell,745.718
route__net,1213
route__net__special,2
route__drc_errors__iter:0,1048
route__wirelength__iter:0,98422
route__drc_errors__iter:1,205
route__wirelength__iter:1,96523
route__drc_errors__iter:2,156
route__wirelength__iter:2,95922
route__drc_errors__iter:3,8
route__wirelength__iter:3,95830
route__drc_errors__iter:4,0
route__wirelength__iter:4,95841
route__drc_errors,0
route__wirelength,95841
route__vias,9751
route__vias__singlecut,9751
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,913.16
design__instance__count__class:fill_cell,1477
design__instance__area__class:fill_cell,14462.6
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19992
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19997
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0000787098
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000613203
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000298632
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000613203
design_powergrid__voltage__worst,0.0000613203
design_powergrid__voltage__worst__net:VPWR,1.19992
design_powergrid__drop__worst,0.0000787098
design_powergrid__drop__worst__net:VPWR,0.0000787098
design_powergrid__voltage__worst__net:VGND,0.0000613203
design_powergrid__drop__worst__net:VGND,0.0000613203
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00003470000000000000319431980866369258365011774003505706787109375
ir__drop__worst,0.000078700000000000002050269676256988304885453544557094573974609375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
