Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,9
design__inferred_latch__count,0
design__instance__count,1748
design__instance__area,21155.9
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 107.52 215.46
design__core__bbox,2.88 3.78 104.64 211.68
design__io,210
design__die__area,23166.3
design__core__area,21155.9
design__instance__count__stdcell,524
design__instance__area__stdcell,8467.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.400257
design__instance__utilization__stdcell,0.400257
design__rows,55
design__rows:CoreSite,55
design__sites,11660
design__sites:CoreSite,11660
design__instance__count__class:buffer,101
design__instance__area__class:buffer,774.749
design__instance__count__class:inverter,4
design__instance__area__class:inverter,21.7728
design__instance__count__class:sequential_cell,108
design__instance__area__class:sequential_cell,3371.16
design__instance__count__class:multi_input_combinational_cell,99
design__instance__area__class:multi_input_combinational_cell,2416.78
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,205
design__instance__area__class:timing_repair_buffer,1734.57
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,31287.7
design__violations,0
design__instance__count__class:clock_buffer,7
design__instance__area__class:clock_buffer,148.781
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,3416
global_route__wirelength,40175
antenna__violating__nets,11
antenna__violating__pins,11
route__antenna_violation__count,11
antenna_diodes_count,0
route__net,627
route__net__special,2
route__drc_errors__iter:0,210
route__wirelength__iter:0,32933
route__drc_errors__iter:1,75
route__wirelength__iter:1,32763
route__drc_errors__iter:2,66
route__wirelength__iter:2,32755
route__drc_errors__iter:3,0
route__wirelength__iter:3,32727
route__drc_errors,0
route__wirelength,32727
route__vias,3472
route__vias__singlecut,3472
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,267.99
design__instance__count__class:fill_cell,1224
design__instance__area__class:fill_cell,12688.1
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19988
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19997
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000116239
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000132513
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000317316
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000132513
design_powergrid__voltage__worst,0.000132513
design_powergrid__voltage__worst__net:VPWR,1.19988
design_powergrid__drop__worst,0.000132513
design_powergrid__drop__worst__net:VPWR,0.000116239
design_powergrid__voltage__worst__net:VGND,0.000132513
design_powergrid__drop__worst__net:VGND,0.000132513
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000030800000000000003264923054135948632392683066427707672119140625
ir__drop__worst,0.00011600000000000000068001160258290838100947439670562744140625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
